Shannon,Fisher,Fisher',GBP,E2,E3,R2,R3,G1,G2,G3,iso,aniso
4.326,451.2479,451.3276,60.4631,81.2169,7001.0118,8.5372,8.9376,1.1944,-5.1852,3.3191,269.7951,34.4926
4.2677,451.3821,451.0635,60.2709,81.2207,7002.7662,8.5196,8.9089,1.1385,-5.109,3.1947,282.3354,46.4711
4.371,451.2359,451.4086,60.5694,81.2194,7000.8268,8.5309,8.9225,1.2344,-5.1949,3.2691,266.0097,43.2921
4.2772,451.4472,451.1725,60.2605,81.2245,7003.8115,8.5238,8.916,1.142,-5.0622,3.1243,283.5535,50.1366
4.386,451.1288,451.5919,60.6619,81.2189,7000.1926,8.5032,8.8778,1.2043,-5.1922,3.3217,263.9083,31.3573
4.2756,451.2633,451.1864,60.3156,81.2062,6999.4636,8.5307,8.9311,1.1732,-5.187,3.2785,277.6352,27.6592
4.3146,451.5287,451.4001,60.3238,81.2279,7004.7663,8.5183,8.9056,1.1214,-5.0309,3.1241,280.7394,42.5229
4.0745,451.5729,450.783,59.8192,81.2281,7003.8316,8.5828,9.0208,1.2208,-5.0379,3.1018,276.6197,26.3837
4.0895,451.5199,450.7782,59.8351,81.2194,7001.9898,8.5741,9.0036,1.2055,-5.0875,3.1361,284.2162,33.0243
4.3442,451.1992,451.3203,60.5453,81.2195,7001.0546,8.5301,8.9213,1.2239,-5.1941,3.3081,263.6238,33.2599
4.0634,451.5945,450.7366,59.7936,81.2316,7004.3721,8.6015,9.0601,1.249,-5.0527,3.0772,278.4235,22.3433
4.2944,451.4774,451.3593,60.2963,81.2236,7003.6187,8.5044,8.8845,1.0907,-5.0612,3.1783,281.7829,40.5954
4.0629,451.5397,450.7408,59.8062,81.2259,7003.3415,8.5923,9.0433,1.2151,-5.0885,3.157,280.6358,28.8428
4.1112,451.5037,450.7543,59.8885,81.2221,7002.2429,8.5884,9.0316,1.2615,-5.1055,3.0935,281.0525,30.8197
4.3204,451.2573,451.1822,60.4274,81.2142,7000.6348,8.5526,8.9635,1.2341,-5.1978,3.2777,269.6998,38.3208
4.305,451.4952,451.2448,60.295,81.2259,7004.2694,8.5338,8.9309,1.1439,-5.0565,3.1466,284.359,50.5814
4.3547,451.0877,451.4154,60.6267,81.2186,7000.0088,8.504,8.8785,1.226,-5.1973,3.3295,261.5069,25.1522
4.3734,451.5481,451.6595,60.5167,81.2376,7005.7251,8.5797,8.9986,1.2496,-5.0541,3.1878,261.4046,25.9005
4.3321,451.1168,451.1401,60.5214,81.2083,6998.709,8.5236,8.9119,1.2388,-5.2545,3.3235,265.7024,22.7662
4.3361,451.2617,451.3558,60.4837,81.2175,7001.113,8.5286,8.9192,1.2255,-5.1436,3.2152,268.0921,37.0924
4.0482,451.5314,450.6658,59.7845,81.2273,7003.4136,8.5879,9.0342,1.2176,-5.0869,3.1748,278.0097,26.7042
4.2922,451.4702,451.2525,60.2895,81.2239,7003.8158,8.5178,8.9039,1.132,-5.053,3.1227,282.9827,46.5612
4.0821,451.7172,450.8438,59.7637,81.2295,7004.6864,8.6051,9.0583,1.2254,-5.0109,3.0291,284.7272,31.6202
4.2628,451.534,451.388,60.1702,81.2223,7003.4708,8.5033,8.8864,1.0518,-5.0555,3.1549,289.5736,42.0847
4.3336,451.2313,451.3266,60.4977,81.2171,7000.9447,8.5256,8.9138,1.2305,-5.1487,3.2287,266.5196,35.1329
4.372,451.2515,451.392,60.5602,81.2176,7000.9134,8.5304,8.9194,1.244,-5.1708,3.2165,267.6048,37.7125
4.0563,451.5503,450.6957,59.7828,81.2254,7003.2312,8.5907,9.0403,1.2174,-5.0839,3.1569,280.6274,27.8499
4.3848,451.2415,451.4094,60.6239,81.222,7001.7429,8.5274,8.9124,1.2468,-5.1716,3.2305,258.1081,44.6745
4.0642,451.5735,450.7346,59.7885,81.2261,7003.4507,8.5926,9.0424,1.2089,-5.0937,3.1545,281.2069,28.0418
4.3126,451.4417,451.2621,60.3523,81.2238,7003.7446,8.5155,8.8993,1.1452,-5.0555,3.1364,280.0337,44.9645
4.329,451.226,451.3339,60.4853,81.2164,7000.6774,8.5195,8.9061,1.183,-5.187,3.3216,267.2856,23.905
4.0675,451.5644,450.7292,59.8018,81.2269,7003.4666,8.5937,9.0445,1.2183,-5.0932,3.1577,280.1856,28.5133
4.2996,451.4576,451.2488,60.3127,81.2235,7003.7328,8.5173,8.9026,1.1414,-5.0499,3.1227,281.9459,45.9187
4.3277,451.2035,451.2407,60.4844,81.2147,7000.3485,8.5311,8.9249,1.209,-5.2082,3.3193,267.7644,30.1032
4.3257,451.183,451.2179,60.4974,81.2155,7000.4641,8.5286,8.9202,1.212,-5.2064,3.3284,265.8344,28.1389
4.2942,451.4616,451.251,60.3016,81.2244,7003.8433,8.5161,8.901,1.1346,-5.0519,3.1265,282.2362,46.3326
4.0793,451.5241,450.7022,59.862,81.2299,7003.5162,8.5961,9.0495,1.2902,-5.0843,3.0665,274.2297,26.2152
4.2718,451.5542,451.4678,60.2129,81.2292,7004.6651,8.5013,8.8838,1.0452,-5.0304,3.1855,285.0487,46.826
4.3094,451.1891,451.2432,60.4515,81.2141,6999.9028,8.5245,8.9152,1.2173,-5.1823,3.278,268.5117,21.2888
4.1547,451.6275,450.868,59.9186,81.2268,7003.4643,8.6097,9.0566,1.2422,-5.1078,3.1232,284.268,38.2614
4.3205,451.1322,451.1788,60.5002,81.2127,6999.458,8.524,8.9125,1.2373,-5.2222,3.29,265.7524,22.3717
4.3569,451.1479,451.4457,60.6331,81.2206,7000.8398,8.5055,8.879,1.2328,-5.165,3.2964,259.0298,25.0172
4.1051,451.4397,450.6626,59.903,81.2195,7001.3399,8.5797,9.0116,1.2727,-5.1267,3.1099,279.6467,25.9808
